Image Directory: C:/Users/sujit/PycharmProjects/Road-Sign-Recognition/Dataset/Train/2

Summary Statistics
================================================================================
Total Images Processed: 2250

Class                     Count      Avg Confidence      
--------------------------------------------------------------------------------
SPEED LIMIT 50            881        0.9279              
SPEED LIMIT 80            264        0.8437              
END OF SPEED LIMIT 80     10         0.8490              
SPEED LIMIT 30            531        0.8733              
SPEED LIMIT 20            139        0.8181              
SPEED LIMIT 70            92         0.7888              
SPEED LIMIT 60            277        0.8316              
 ROUNDABOUT               28         0.7833              
 TRAFFIC SIGNALS          2          0.7335              
 CHILDREN CROSSING        1          0.4865              
SPEED LIMIT 100           8          0.8961              
SPEED LIMIT 120           16         0.7609              
 SNOW/ICE WARNING         1          0.9453              



Detailed Prediction Results
================================================================================
Image Name                     Predicted Class           Confidence Score    
--------------------------------------------------------------------------------
00002_00000_00000.png          SPEED LIMIT 50            1.0000              
00002_00000_00001.png          SPEED LIMIT 50            1.0000              
00002_00000_00002.png          SPEED LIMIT 50            1.0000              
00002_00000_00003.png          SPEED LIMIT 50            0.9982              
00002_00000_00004.png          SPEED LIMIT 50            0.9999              
00002_00000_00005.png          SPEED LIMIT 50            0.9983              
00002_00000_00006.png          SPEED LIMIT 50            1.0000              
00002_00000_00007.png          SPEED LIMIT 50            1.0000              
00002_00000_00008.png          SPEED LIMIT 50            0.9999              
00002_00000_00009.png          SPEED LIMIT 50            0.9999              
00002_00000_00010.png          SPEED LIMIT 50            0.9987              
00002_00000_00011.png          SPEED LIMIT 50            0.8462              
00002_00000_00012.png          SPEED LIMIT 50            0.9999              
00002_00000_00013.png          SPEED LIMIT 50            0.9970              
00002_00000_00014.png          SPEED LIMIT 50            0.9983              
00002_00000_00015.png          SPEED LIMIT 50            0.9997              
00002_00000_00016.png          SPEED LIMIT 50            0.9998              
00002_00000_00017.png          SPEED LIMIT 50            0.9984              
00002_00000_00018.png          SPEED LIMIT 50            0.9999              
00002_00000_00019.png          SPEED LIMIT 50            1.0000              
00002_00000_00020.png          SPEED LIMIT 50            0.9998              
00002_00000_00021.png          SPEED LIMIT 50            0.9849              
00002_00000_00022.png          SPEED LIMIT 50            0.9995              
00002_00000_00023.png          SPEED LIMIT 50            1.0000              
00002_00000_00024.png          SPEED LIMIT 50            1.0000              
00002_00000_00025.png          SPEED LIMIT 50            1.0000              
00002_00000_00026.png          SPEED LIMIT 50            1.0000              
00002_00000_00027.png          SPEED LIMIT 50            1.0000              
00002_00000_00028.png          SPEED LIMIT 50            0.9999              
00002_00000_00029.png          SPEED LIMIT 50            1.0000              
00002_00001_00000.png          SPEED LIMIT 50            0.9996              
00002_00001_00001.png          SPEED LIMIT 50            0.9973              
00002_00001_00002.png          SPEED LIMIT 50            0.9887              
00002_00001_00003.png          SPEED LIMIT 50            0.9973              
00002_00001_00004.png          SPEED LIMIT 50            0.9324              
00002_00001_00005.png          SPEED LIMIT 50            0.9992              
00002_00001_00006.png          SPEED LIMIT 50            0.9996              
00002_00001_00007.png          SPEED LIMIT 50            0.9996              
00002_00001_00008.png          SPEED LIMIT 50            0.9998              
00002_00001_00009.png          SPEED LIMIT 50            0.9809              
00002_00001_00010.png          SPEED LIMIT 50            0.9815              
00002_00001_00011.png          SPEED LIMIT 50            0.9961              
00002_00001_00012.png          SPEED LIMIT 50            0.9999              
00002_00001_00013.png          SPEED LIMIT 50            0.8653              
00002_00001_00014.png          SPEED LIMIT 50            0.9975              
00002_00001_00015.png          SPEED LIMIT 80            0.9810              
00002_00001_00016.png          SPEED LIMIT 50            0.8810              
00002_00001_00017.png          SPEED LIMIT 50            0.5405              
00002_00001_00018.png          SPEED LIMIT 80            0.5356              
00002_00001_00019.png          SPEED LIMIT 50            0.9966              
00002_00001_00020.png          SPEED LIMIT 50            0.9998              
00002_00001_00021.png          SPEED LIMIT 50            0.9999              
00002_00001_00022.png          SPEED LIMIT 50            1.0000              
00002_00001_00023.png          SPEED LIMIT 50            1.0000              
00002_00001_00024.png          SPEED LIMIT 50            0.9996              
00002_00001_00025.png          SPEED LIMIT 50            1.0000              
00002_00001_00026.png          SPEED LIMIT 50            0.9999              
00002_00001_00027.png          SPEED LIMIT 50            1.0000              
00002_00001_00028.png          SPEED LIMIT 50            1.0000              
00002_00001_00029.png          SPEED LIMIT 50            1.0000              
00002_00002_00000.png          SPEED LIMIT 50            0.9923              
00002_00002_00001.png          SPEED LIMIT 50            0.9981              
00002_00002_00002.png          SPEED LIMIT 50            0.8182              
00002_00002_00003.png          END OF SPEED LIMIT 80     0.7239              
00002_00002_00004.png          SPEED LIMIT 50            0.9908              
00002_00002_00005.png          SPEED LIMIT 50            0.9965              
00002_00002_00006.png          SPEED LIMIT 50            0.9735              
00002_00002_00007.png          SPEED LIMIT 50            0.9647              
00002_00002_00008.png          SPEED LIMIT 50            0.9927              
00002_00002_00009.png          SPEED LIMIT 30            0.6430              
00002_00002_00010.png          SPEED LIMIT 50            0.8675              
00002_00002_00011.png          SPEED LIMIT 50            0.9651              
00002_00002_00012.png          SPEED LIMIT 50            0.8181              
00002_00002_00013.png          SPEED LIMIT 50            0.4901              
00002_00002_00014.png          SPEED LIMIT 80            0.4514              
00002_00002_00015.png          SPEED LIMIT 50            0.6414              
00002_00002_00016.png          SPEED LIMIT 50            1.0000              
00002_00002_00017.png          SPEED LIMIT 50            0.9995              
00002_00002_00018.png          SPEED LIMIT 50            0.9997              
00002_00002_00019.png          SPEED LIMIT 20            0.5801              
00002_00002_00020.png          SPEED LIMIT 50            0.8891              
00002_00002_00021.png          SPEED LIMIT 50            1.0000              
00002_00002_00022.png          SPEED LIMIT 50            0.8685              
00002_00002_00023.png          SPEED LIMIT 50            1.0000              
00002_00002_00024.png          SPEED LIMIT 50            0.9985              
